ocel:timestamp,ocel:eid,ocel:activity,commit_message,author_name,Unnamed: 0,merge,Unnamed: 10,Unnamed: 11,files_changed,branches_count,time_since_previous_commit,time_since_previous_commit_days,commit_frequency_24h,commit_hour,commit_day,commit_month,commit_dayofweek
2014-09-18 16:12:01+00:00,6a3abf2366e2c32ce3460155903262fee01736c8,initial,Initial commit,Miško Hevery,0,False,,,2,119,10169.547932904708,0.1177031010752859,0.0,16,18,9,3
2014-09-18 21:56:38+00:00,afa761646472120edef1f9b01f219f125f20128e,build,build - refactor,Tobias Bosch,1,False,,,0,119,20677.0,0.2393171296296296,0.0,21,18,9,3
2014-09-19 21:29:20+00:00,45f8a5119488d28bf90311b2dd7fc55ee6f7d92a,build,build: prevent infinite loop during install,Tobias Bosch,6,False,,,1,119,84762.0,0.9810416666666668,0.0,21,19,9,4
2014-09-19 21:55:04+00:00,5af57922dbf5b3cf76adb5e3831f9aa21dddc17c,chore,chore: add .c9 to gitignore,Misko Hevery,2,False,,,1,119,1544.0,0.0178703703703703,0.0,21,19,9,4
2014-09-19 21:55:37+00:00,9f1db3f2bcf67f49c9b145e1d1e8f090220372df,chore,chore: correct postinstall.sh script,Misko Hevery,3,False,,,2,119,33.0,0.0003819444444444,0.0,21,19,9,4
2014-09-19 23:03:36+00:00,6e4477fc0880e12c9f4c2959e4bf1ae075794bc3,wip,WIP,Misko Hevery,4,False,,,4,119,4079.0,0.0472106481481481,0.0,23,19,9,4
2014-09-19 23:37:56+00:00,e45ecd6d58986c45955081c14295cd28d984846e,chore,chare: changed gulp to support test folder,Misko Hevery,5,False,,,1,119,2060.0,0.0238425925925925,0.0,23,19,9,4
2014-09-19 23:38:37+00:00,8afa421d75c95562060e35dbe8f576bd1e81c294,first,first chunk of interfaces that are valid via dart analyzer,Misko Hevery,12,False,,,0,119,41.0,0.000474537037037,0.0,23,19,9,4
2014-09-21 01:38:41+00:00,88aac42c6d4147117aae46c933ee651a869dc6c2,chore,chore(build): update to updated version in js2dart,Tobias Bosch,7,False,,,0,119,93604.0,1.0833796296296296,0.0,1,21,9,6
2014-09-22 05:02:28+00:00,e5224d2cb38f8eec93d6eb3dd576d5babdbb97b3,chore,chore(build): make watch faster / only build what is needed,Tobias Bosch,8,False,,,0,119,98627.0,1.1415162037037037,0.0,5,22,9,0
2014-09-25 03:20:59+00:00,57b3297bf65fb781848b0a72e84dbbadcb4b57ff,refactor,refactor: always use js2dart traceur and make examples run again,Tobias Bosch,9,False,,,0,119,253111.0,2.929525462962963,0.0,3,25,9,3
2014-09-25 17:44:42+00:00,47bd68b33db537eebea74d3a5e6f2f182e727008,update,update js2dart,Tobias Bosch,10,False,,,0,119,51823.0,0.5998032407407408,0.0,17,25,9,3
2014-09-25 18:14:56+00:00,29c20f7a506e1e88658729f31ddbb07f51ecad9c,update,update js2dart,Tobias Bosch,11,False,,,0,119,1814.0,0.0209953703703703,0.0,18,25,9,3
